base_file,original_filename,type,materials,objects,colors,orientation,canonical_for,allowed_edits,do_not_use_for,notes,asset_id,image_path,sha256,source_role,approval_status,provenance_source,material_tags,finish_tags
Car (sedan).png,Category icon_Car care and detailing 1.png,object,glossy-paint-rubber-chrome,car-sedan,blue-black-silver,side-horizontal,Car (sedan),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-61005e4bc97faae1,references/archive/PNGs_renamed/Car care and detailing.png,61005e4bc97faae12d4a727572d85846730663141d35dc946b0aaf1b11c2825f,editable_base,existing_curated,bundled_uc_icon_archive,rubber;chrome,glossy;painted
Ceiling fan.png,Category icon_Fan installation 1.png,appliance,matte-metal,ceiling-fan,maroon-brown,front-near-orthographic,Ceiling fan,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-9eda1d009679ec06,references/archive/PNGs_renamed/Fan installation.png,9eda1d009679ec0616f2c32d0b0f79351765392c0f2438af2451f505ac4bfbf7,editable_base,existing_curated,bundled_uc_icon_archive,metal,matte
Cleaning caddy.png,HS_Part-time cleaners_Dubai-1 1.png,composite,plastic-microfiber,cleaning-caddy,white-blue-yellow,front-slight-top,Cleaning caddy,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-34b0e63f6486978c,references/archive/PNGs_renamed/Part-time cleaners (Dubai).png,34b0e63f6486978cde51c4d0d94c0311b974f662287726734743647b758c10a5,editable_base,existing_curated,bundled_uc_icon_archive,plastic;microfiber,unknown
Cockroach (prohibition).png,Category icon_Cockroach control 1.png,composite,glossy-chitin,cockroach-prohibition,brown-red,front-near-orthographic,Cockroach (prohibition),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-f2cdb41b7a8f620a,references/archive/PNGs_renamed/Cockroach control.png,f2cdb41b7a8f620a5cb5c94d5f719fd9b06d2101ea52af64ff1ea96c22bce317,editable_base,existing_curated,bundled_uc_icon_archive,chitin,glossy
"Cockroach (prohibition, large).png",Category icon_premium_pest control dubai 1.png,composite,glossy-chitin,cockroach-prohibition-large,brown-red,front-near-orthographic,"Cockroach (prohibition, large)",recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-9fd2075b4a29fb7b,references/archive/PNGs_renamed/Premium pest control (Dubai).png,9fd2075b4a29fb7bcb927ddebc9e2d443afc66232c3da0656f2b9262933e2575,editable_base,existing_curated,bundled_uc_icon_archive,chitin,glossy
Cooking pot.png,Cooks_dubai 1.png,object,matte-cast-iron-wood,cooking-pot,black-orange-tan,front-slight-top,Cooking pot,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-c9ad9760101c6bd5,references/archive/PNGs_renamed/Cooks (Dubai).png,c9ad9760101c6bd5babe001d034783ccad1bcf367405fa15afbe853f523f81a4,editable_base,existing_curated,bundled_uc_icon_archive,wood;cast iron,matte
Curtains.png,"Curtains, Dubai 1.png",textile,matte-fabric-bronze-metal,curtains,beige-bronze,side-horizontal,Curtains,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-672d700b55ac7925,references/archive/PNGs_renamed/Curtains (Dubai).png,672d700b55ac7925513684c1edae9e54322a9dd6e10f2f420c3ab3d6303e133f,editable_base,existing_curated,bundled_uc_icon_archive,fabric;bronze;metal,matte
Document (AMC paper).png,AMC 1.png,object,matte-paper,document-amc-paper,white-navy-grey,front-near-orthographic,Document (AMC paper),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-336f605cae58dc4a,references/archive/PNGs_renamed/AMC.png,336f605cae58dc4aad2bd9fba78e1ce1eca45063be904220826537461c63ad53,editable_base,existing_curated,bundled_uc_icon_archive,paper,matte
Door with drill.png,"Curtains, Dubai-1.png",composite,wood-yellow-plastic-metal,door-with-drill,brown-yellow-black,front-near-orthographic,Door with drill,recolor wood;add/remove one tool;minor handle change,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-2bbd5fce8535fb7d,references/archive/PNGs_renamed/Door installation (Dubai) [filed as Curtains].png,2bbd5fce8535fb7d79215b4759f4a22f432b677735afc53bd61a1286c86e11d2,editable_base,existing_curated,bundled_uc_icon_archive,wood;plastic;metal,unknown
Dresser (chest of drawers).png,Category icon_IKEA furniture assembly 1.png,furniture,matte-wood,dresser-chest-of-drawers,pale-pink-beige,front-slight-top,Dresser (chest of drawers),recolor wood;add/remove one tool;minor handle change,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-3e6d0841fd7a9c23,references/archive/PNGs_renamed/IKEA furniture assembly.png,3e6d0841fd7a9c235dc151f53816020979754fb0938a218a26777d8316b67dfb,editable_base,existing_curated,bundled_uc_icon_archive,wood,matte
Dumbbell.png,Category Icon_Fitness & yoga trainers_Dubai 1.png,object,matte-rubber-brushed-steel,dumbbell,grey-charcoal,front-near-orthographic,Dumbbell,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-7d5c1a870f23b5f9,references/archive/PNGs_renamed/Fitness & yoga trainers (Dubai).png,7d5c1a870f23b5f982b143c4a73cf364159851ae149866e20b757b6bbb5bd4db,editable_base,existing_curated,bundled_uc_icon_archive,rubber;steel,matte;brushed
Gas stove.png,Category icon_Stove 1.png,appliance,glass-brushed-steel-brass,gas-stove,black-silver-brass,front-slight-top,Gas stove,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-fb0fee8524ea62ec,references/archive/PNGs_renamed/Stove.png,fb0fee8524ea62ec3d13a00cbd21c5517f12d19df5ece780e5b3ab8c6b990b4e,editable_base,existing_curated,bundled_uc_icon_archive,glass;steel;brass,brushed
Glass balustrade railing.png,Category icon_Festive lights installation Dubai 1.png,object,glass-matte-metal-tile,glass-balustrade-railing,clear-black-grey,side-horizontal,Glass balustrade railing,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-1b7a123bbdea3a22,references/archive/PNGs_renamed/Festive lights installation (Dubai).png,1b7a123bbdea3a220b863569a15029373450713f8f1fc9e5a1976f2c3d8ce8c6,editable_base,existing_curated,bundled_uc_icon_archive,glass;metal;tile,matte
Hair dryer.png,Category icon_Hair studio for women 1.png,appliance,matte-plastic,hair-dryer,lavender-purple-pink,front-near-orthographic,Hair dryer,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-ad526eb14b3d0686,references/archive/PNGs_renamed/Hair studio for women.png,ad526eb14b3d0686ee9923a7b40d5dc499d6ff397f974891e37ceff8dd9390fd,editable_base,existing_curated,bundled_uc_icon_archive,plastic,matte
House model.png,Move-in cleaning India 1.png,object,matte-render-glass,house-model,cream-grey-red,front-near-orthographic,House model,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-721cdf4873a1071f,references/archive/PNGs_renamed/Move-in cleaning (India).png,721cdf4873a1071f90adc3d7631147cd95db353f192ca7efe70d891accab813f,editable_base,existing_curated,bundled_uc_icon_archive,glass,matte
ID card.png,ID Dubai 1.png,object,flat-3d-render-plastic,id-card,pink-magenta-blue,side-horizontal,ID card,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-e0a1fc7562430146,references/archive/PNGs_renamed/ID verification (Dubai).png,e0a1fc75624301463b28641d60d8471d0eaf9b7e1f926f0b54e60f96a2e83df7,editable_base,existing_curated,bundled_uc_icon_archive,plastic,unknown
Kitchen chimney.png,Category icon_Kitchen cleaning-1 1.png,appliance,brushed-steel-glass,kitchen-chimney,silver-black,front-near-orthographic,Kitchen chimney,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-b1c11d3c3c32b214,references/archive/PNGs_renamed/Kitchen cleaning.png,b1c11d3c3c32b2141cf4d4ce81b4611da22f3e2013ca2a916d53925a186cefbe,editable_base,existing_curated,bundled_uc_icon_archive,steel;glass,brushed
Laptop.png,Category icon_Laptop repair 1.png,appliance,brushed-aluminum-glass,laptop,silver-black,front-slight-top,Laptop,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-bb7784d3fd5a7f47,references/archive/PNGs_renamed/Laptop repair.png,bb7784d3fd5a7f47ae735d9b4a3182d0468d168920d95a41df44cef85ee01f5d,editable_base,existing_curated,bundled_uc_icon_archive,aluminum;glass,brushed
Laundry basket (rattan).png,Category Icon_Laundry and Ironing singapore 1.png,composite,rattan-cotton,laundry-basket-rattan,tan-blue-yellow-pink,front-slight-top,Laundry basket (rattan),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-4ca323c27cd1c0ba,references/archive/PNGs_renamed/Laundry and Ironing (Singapore).png,4ca323c27cd1c0baed94588626896f479d52d2bb57c7fa00fc9cdaf19cffd7b2,editable_base,existing_curated,bundled_uc_icon_archive,rattan;cotton,unknown
Lipstick.png,Category icon_Makeup & styling studio 1.png,object,matte-cosmetic-glossy-metal,lipstick,red-gold-black,front-near-orthographic,Lipstick,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-aeb8a669b2177b7f,references/archive/PNGs_renamed/Makeup & styling studio.png,aeb8a669b2177b7fdf706dcfdbce20e7e3d425cf75cf4ecbcd8083fb1ab25031,editable_base,existing_curated,bundled_uc_icon_archive,metal,matte;glossy
Lotus on towel.png,"Women's Massage, Dubai 1.png",object,matte-render-cotton,lotus-on-towel,pink-white,front-near-orthographic,Lotus on towel,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-debd724bcca3d3e2,references/archive/PNGs_renamed/Womens Massage (Dubai).png,debd724bcca3d3e277262e3dd31a9c70b8bcafba3d2c15e0a9309619b4c8785b,editable_base,existing_curated,bundled_uc_icon_archive,cotton,matte
Man bust (spa).png,HS_Men's salon & massage_Dubai 1.png,human,matte-cotton-skin,man-bust-spa,white-brown-green,front-bust,Man bust (spa),add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-aa0caac7e86c4199,references/archive/PNGs_renamed/Mens salon & massage (Dubai).png,aa0caac7e86c41998df727b3d3a26b0049cf2530c8f000c7cb998ec07806042d,editable_base,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
"Man bust (spa, sparkles).png",HS_ Luxury Men's salon & massage_Dubai 1.png,human,matte-cotton-skin,man-bust-spa-sparkles,white-brown-green-yellow,front-bust,"Man bust (spa, sparkles)",add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-a4b5a2454fc3ebc4,references/archive/PNGs_renamed/Luxury Mens salon & massage (Dubai).png,a4b5a2454fc3ebc4ef4829d6b1418339da687049d55df1dfd344ec64136f4f3c,editable_base,existing_curated,bundled_uc_icon_archive,cotton;skin,matte
Man face (eyes closed).png,Male eyes close.png,human,stylized-3d-render-skin,man-face-eyes-closed,skintone-brown,front-bust,Man face (eyes closed);male eyes closed;man eyes closed;male spa closed eyes;man spa closed eyes,add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-b59c6dcfcab89fef,references/archive/PNGs_renamed/Avatar base - male (eyes closed).png,b59c6dcfcab89fef7b3b4ec433a9cdb1e135a9a7b46b581b008b0371958e0442,editable_base,existing_curated,bundled_uc_icon_archive,skin,unknown
Man face (eyes open).png,Male eyes open.png,human,stylized-3d-render-skin,man-face-eyes-open,skintone-brown,front-bust,Man face (eyes open);male base;male eyes open;man base;male character;male chef;male cook;technician man;driver man,add/swap wardrobe;add/swap headwear;add one service cue;recolor clothing,object-only icon;non-human object,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-1131280a52497148,references/archive/PNGs_renamed/Avatar base - male (eyes open).png,1131280a52497148f680fb2c9f6cecd6775207479ba46463360c4a1b00edc3e5,editable_base,existing_curated,bundled_uc_icon_archive,skin,unknown
Massage table (black).png,Category icon_Massage for men 1.png,furniture,leather-wood-cotton,massage-table-black,black-brown-white,side-horizontal,Massage table (black);massage bed;massage table;spa bed;spa table;therapy bed;men massage bed;massage for men;black massage bed,recolor upholstery;remove towel;add towel;change cushion color,human character;person bust;pink massage table;women spa,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-7b0f0fe58d2ef6f1,references/archive/PNGs_renamed/Massage for men.png,7b0f0fe58d2ef6f14045e283ee2dbe0cff565abf83b8b0062a825fc509997485,editable_base,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Massage table (pink).png,Category icon_Spa for women-1 1.png,furniture,pink-leather-wood-cotton,massage-table-pink,pink-brown-white,side-horizontal,Massage table (pink);massage bed;massage table;spa bed;spa table;therapy bed;women massage bed;spa for women;pink massage bed,recolor upholstery;remove towel;add towel;change cushion color,human character;person bust;black massage table;men massage,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-00651da0729e337d,references/archive/PNGs_renamed/Spa for women.png,00651da0729e337d9c8299457a0dde292d405d321c2239a34aa5054d64eb0635,editable_base,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Massage tables (pair).png,Category Icon_Couples massage_Dubai 1.png,furniture,leather-wood-cotton,massage-tables-pair,black-pink-brown-white,side-horizontal,Massage tables (pair);massage bed;massage table;spa bed;spa table;therapy bed,recolor upholstery;remove towel;add towel;change cushion color,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-81d440630a2a81bf,references/archive/PNGs_renamed/Couples massage (Dubai).png,81d440630a2a81bf16a948316e3ef1c491b3992adaccf16005f3ace01b92a9e9,editable_base,existing_curated,bundled_uc_icon_archive,leather;wood;cotton,unknown
Microwave.png,Category icon_microwave repair 1.png,appliance,brushed-steel-glass-plastic,microwave,silver-black,front-near-orthographic,Microwave,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-6ec2e1a74889523b,references/archive/PNGs_renamed/Microwave repair.png,6ec2e1a74889523b5eab8dfc2e3d6bbaa7fd13362069b4da2b89b9d82045496e,editable_base,existing_curated,bundled_uc_icon_archive,steel;glass;plastic,brushed
Nail polish.png,HS_Mani-pedi_SGP 1.png,object,glossy-glass-matte-plastic,nail-polish,pink-black,front-near-orthographic,Nail polish,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-534e8f31c13859d9,references/archive/PNGs_renamed/Mani-pedi (Singapore).png,534e8f31c13859d916f6ba7815ab26396289721cf6581ee1cbf8fffb8e592527,editable_base,existing_curated,bundled_uc_icon_archive,glass;plastic,glossy;matte
Native RO water purifier.png,HS_Native RO Water Purifiers_India 1.png,appliance,glossy-glass-matte-plastic,native-ro-water-purifier,charcoal-grey-black,front-near-orthographic,Native RO water purifier;native ro;native water purifier;native ro water purifier;native ro water purifiers india,recolor trim;minor panel/tap change;remove tiny detail,human character;person bust;normal ro;regular ro;simple water purifier;water purifier repair,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-573b0faf331d3689,references/archive/PNGs_renamed/Native RO Water Purifiers (India).png,573b0faf331d3689c4a2d27c9bca5564f12148860cc4c5fc5ee0735132bf5873,editable_base,existing_curated,bundled_uc_icon_archive,glass;plastic,glossy;matte
Paint roller.png,HS_Painting & waterproofing _India 1.png,tool,foam-metal-wood,paint-roller,yellow-silver-tan,front-near-orthographic,Paint roller,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-2d1b8b9078e82982,references/archive/PNGs_renamed/Painting & waterproofing (India).png,2d1b8b9078e82982ca959efcb5cb41dda11ba0e8808468f4da2dc5c10011086c,editable_base,existing_curated,bundled_uc_icon_archive,foam;metal;wood,unknown
Premium Helper bust (uniform).png,HS_Premium helper _ Dubai 1.png,human,stylized-3d-render,woman-bust-uniform-gold-trim,brown-black-skintone,unknown,Premium Helper bust (uniform),unknown,unknown,Existing curated source restored to the index. Orientation and edit constraints have not been separately reviewed; preserve the source and apply the character edit guide when applicable.,uc-icon-138e0bd2a2d772e5,references/archive/PNGs_renamed/Premium helper (Dubai).png,138e0bd2a2d772e57b659a04eadf710a6ec7e01b456e74eb7a1e7588a9380401,editable_base,existing_curated,bundled_uc_icon_archive,unknown,unknown
Railing with string lights.png,Category icon_Festive lights installation 1.png,composite,matte-metal-glass,railing-with-string-lights,black-yellow-grey,side-horizontal,Railing with string lights,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-2344c678d82ad08c,references/archive/PNGs_renamed/Festive lights installation.png,2344c678d82ad08c50d2361501d52a5409dc5b04e466f297e1a0cd69894ad066,editable_base,existing_curated,bundled_uc_icon_archive,metal;glass,matte
Refrigerator.png,Category icon_Refrigerator repair 1.png,appliance,brushed-steel,refrigerator,silver-grey,front-near-orthographic,Refrigerator,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-30712c9471e8fb77,references/archive/PNGs_renamed/Refrigerator repair.png,30712c9471e8fb77901e4d4a5a2bde859ef3ad52bf0fcf79a2063be28560e493,editable_base,existing_curated,bundled_uc_icon_archive,steel,brushed
RO water purifier.png,Category icon_Water purifier repair 1.png,appliance,matte-plastic-tinted-glass,ro-water-purifier-normal-wall-mount,white-blue,front-near-orthographic,RO water purifier;normal ro;regular ro;simple water purifier;water purifier repair;wall mount water purifier;normal water purifier,recolor trim;minor panel/tap change;remove tiny detail,human character;person bust;native ro;native water purifier,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-e687f69b2c44aab2,references/archive/PNGs_renamed/Water purifier repair.png,e687f69b2c44aab29f6e85e3357ed0f5886e31964f4c44310e181f8038378004,editable_base,existing_curated,bundled_uc_icon_archive,plastic;glass,matte;tinted
Shelf cabinet (open).png,Category icon_Furniture assembly 1.png,furniture,wood-metal,shelf-cabinet-open,tan-wood-silver,front-slight-top,Shelf cabinet (open),recolor wood;add/remove one tool;minor handle change,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-cfcb6e765a1b795f,references/archive/PNGs_renamed/Furniture assembly.png,cfcb6e765a1b795fafc38506767cc31800f16067690003d6ee413b24450a5594,editable_base,existing_curated,bundled_uc_icon_archive,wood;metal,unknown
Sink with wrench.png,Category icon_Plumber 1.png,composite,glossy-ceramic-chrome-rubber,sink-with-wrench,white-chrome-red,front-slight-top,Sink with wrench,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-2113b696cb445218,references/archive/PNGs_renamed/Plumber.png,2113b696cb445218318d1544c228e1113b7146b469c9f85aa730f9af454375a9,editable_base,existing_curated,bundled_uc_icon_archive,ceramic;chrome;rubber,glossy
Smart locks.png,HS_Native Locks_India 1.png,object,matte-metal-glossy-plastic-glass,smart-locks,bronze-black-charcoal,front-near-orthographic,Smart locks,recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-744c8b5c573c4b10,references/archive/PNGs_renamed/Native Locks (India).png,744c8b5c573c4b104e809c1702e7a125e1f4058c9fd7da96e0cb9ada39df23ba,editable_base,existing_curated,bundled_uc_icon_archive,metal;plastic;glass,matte;glossy
Socket & switch with screwdriver (flathead).png,Category icon_Electrician Dubai 1.png,composite,matte-plastic-brass,socket-switch-with-screwdriver-flathead,white-red-brass,front-near-orthographic,Socket & switch with screwdriver (flathead),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-e92d4654875ed8c5,references/archive/PNGs_renamed/Electrician (Dubai).png,e92d4654875ed8c567220ff69827b29534378d46a25119e4f2b8b4c49277478f,editable_base,existing_curated,bundled_uc_icon_archive,plastic;brass,matte
Socket & switch with screwdriver (Phillips).png,"Curtains, Dubai.png",composite,matte-plastic-chrome-brass,socket-switch-with-screwdriver-phillips,white-red-chrome,front-near-orthographic,Socket & switch with screwdriver (Phillips),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-26b84a6aaa7e70e5,references/archive/PNGs_renamed/Electrical socket & switch (Dubai) [filed as Curtains].png,26b84a6aaa7e70e5abb38b994679dc36e02558a473ec6160979a34362e852fd2,editable_base,existing_curated,bundled_uc_icon_archive,plastic;chrome;brass,matte
Sofa (pink chesterfield).png,Premium Sofa Dubai 1.png,furniture,tufted-velvet-acrylic,sofa-pink-chesterfield,blush-pink-clear,side-horizontal,Sofa (pink chesterfield),recolor;minor crop/export normalization,human character;person bust,"Use as edit target/base image; preserve orientation, crop, lighting, shadow, and untouched parts.",uc-icon-f7c0d35e3a5d016d,references/archive/PNGs_renamed/Premium sofa (Dubai).png,f7c0d35e3a5d016da8d7563361a53e4b1b47c934dd0cef9466d27c301b10235e,editable_base,existing_curated,bundled_uc_icon_archive,velvet;acrylic,tufted
